,Establishment,Rating,Review Count,Address,countryCode,District,Star Rating,Distance,Level,type,image
0,Apartment,9.4,5371,Masná 20,cz,Prague 1,3,0.45,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/242710752.jpg?k=11f43404aba1d4d2c69ec7d94bf08c2d4c12f20d11d01ef0ea7af0669383099a&o=
1,Hotel,9.6,1903,Všehrdova 16,cz,Prague 1,4,1.2,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/423506601.jpg?k=18ec2d4287b7fd6b7cc1d27e4744edb89b4c1f352a31e1650072deaacec80da2&o=
2,other,0.0,9671,V Úžlabině 19,cz,Prague,3,5.7,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/252252909.jpg?k=442ef371b4da7f8cb57c2ce6180c37e5a5fb115505aa11727bf67fa17487b623&o=
3,Hotel,0.0,1054,Senovazne Namesti 15,cz,Prague 1,4,0.9,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/412547531.jpg?k=426c4274273ecd8bf8d152ac39d0880125bbcccc1cd52f09632a691358874092&o=
4,Hotel,9.5,3946,Křemencova 18,cz,Prague 1,4,0.9,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/287389552.jpg?k=57f659a2d2b348577a0a5b9f7c9df4c6a093d49e58eedfa6b04cd09aca86483d&o=
5,other,9.7,1922,3 Senovážné náměstí,cz,Prague 1,5,0.7,L2,SILVER,https://cf.bstatic.com/xdata/images/hotel/square600/416319918.jpg?k=88b72c4d65fc4fe2403b74e8e69d2cbf3ee6e71b642bcefb5e8112310491276e&o=
6,Hotel,0.0,4573,Thámova 688/36,cz,Prague 8,4,2.3,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/91363231.jpg?k=050d0dfe2f3c2b999860b641e4ee8231ec54ed6a17bbfae1f5367df58db7fd6a&o=
7,Hotel,9.9,404,21 Bílkova,cz,Prague 1,4,0.45,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/389491180.jpg?k=c5177eaecf4bdcd6e61cbd11bb8e65c4c0257b91a6fcaea0e8d0e5ab1e5fb354&o=
8,Hotel,9.3,2764,Melnická 9,cz,Prague 5,4,1.4,L0,NONE,https://cf.bstatic.com/xdata/images/hotel/square600/20896690.jpg?k=7c12f8ff7f9831a19902a8b30c91a14558ed8fd1d5058abdb2e8d36b2379fb2a&o=
9,other,0.0,2644,Türkova 5a/2318,cz,Prague 11,3,7.6,L1,BRONZE,https://cf.bstatic.com/xdata/images/hotel/square600/363700974.jpg?k=828e1d5bcd4184bbd31529d37392ffd05f1e4c0b86eff2cb475e92a6265fb4ff&o=
